author,date,text
citrasiwis1,2019-08-20 02:48:04,"RT @golonganhutan: Sorry, Indonesia sudah bukan #negaraberflower, kita #negaraberforest. Ini buktinya! Info cek: https://t.co/53aD61eNIz
#g"
EmanuelGracetan,2019-08-20 02:48:05,"RT @negativisme: lebih baik Indonesia kehilangan ormas, daripada kehilangan Papua #PapuaSaudaraku https://t.co/gOP2os1x6S"
usahadarirumah,2019-08-20 02:48:05,BISNIS RESELLER PENGHEMAT BBM BIODRIVEINDONESIA https://t.co/087oDdiSlI https://t.co/e2O1b0cjsZ
btcjhh,2019-08-20 02:48:06,RT @PaceJowo: Papua itu Indonesia jadi stop diskriminasi kami  https://t.co/jV79hwmasl
ntsynv,2019-08-20 02:48:06,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
dsfajaru,2019-08-20 02:48:06,"RT @permadiaktivis: yang koar2 cina ini cina itu, pas 17an kibarin bendera hitam HTI.. sementara WNI etnis Tionghoa yg mereka benci malah b"
vicbmpa,2019-08-20 02:48:07,"RT @stef_crf: na fase que eu to, eu pularia com certeza https://t.co/m2nPLPoR6B"
NajwaShihab,2019-08-20 02:48:07,"Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus jug https://t.co/pKPj4Y8QC1"
IndonesiaGaruda,2019-08-20 02:48:07,@listyakw  Terima kasih atas saran yang Ibu Listya berikan hal ini akan kami jadikan evaluasi. Mohon maaf jika saji https://t.co/Aibt99R1Zt
Amelllnh,2019-08-20 02:48:08,"RT @renaldypjs: Opening @nikizefanya pakai Proklamasi &amp; kibarin bendera Indonesia di Los Angeles, CA.

                PROUD! https://t"
KTK606,2019-08-20 02:48:08,"#TVXQ # #UKNOWN #ChangMin Anation Japan  Tokyo Indonesia  Jakarta Taiwan 
         https://t.co/CFYzKeYUf2"
NananggSR,2019-08-20 02:48:09,"RT @masked1193: Chikuy 

@Y_ChikaJKT48 at Upacara Kemerdekaan Indonesia ke-74

@ Bakti Mulya 400 Senior High School, Jakarta [17.08.2019]"
b1e56df9ce6549f,2019-08-20 02:48:08,RT @CREWcrew: The president's son + the president's business + a foreign country + an event with foreign government officials = conflicts o
Memet_mizzi,2019-08-20 02:48:09,"RT @permadiaktivis: yang koar2 cina ini cina itu, pas 17an kibarin bendera hitam HTI.. sementara WNI etnis Tionghoa yg mereka benci malah b"
radenano,2019-08-20 02:48:09,"Jaringan Pendukung Pilpres Kalah (JPPK) dan
Jaringan Pendukung Pengasong Khilafah.akan selalu berusaha menggoncang https://t.co/10AwY5qqdS"
AstiraChintya,2019-08-20 02:48:09,"That Is What Is Called Indonesia

https://t.co/TwJk04Wwcn 

#westpapua #freewestpapua #letwestpapuavote #fwpc https://t.co/kswgpHzeKR"
mas_gumi,2019-08-20 02:48:11,Cocok dengan situasi Indonesia saat ini https://t.co/gC0rpt0HNy https://t.co/fxfm4Kynyr
Suhadi91896725,2019-08-20 02:48:12,#TangkapAbuJanda
lazarus_omar,2019-08-20 02:48:12,RT @lazarus_omar: @naviza_ava @FerdinandHaean2 Di dunia Ini Hanya Di Indonesia Pemeluk Agama Mayoritas Terbesar Tersiksa &amp; Mendapatkan Nera
PARISVILLALOBOS,2019-08-20 02:48:13,"@LucyPN Mi mam se llama Francisca y yo me llamo Francia...mis hermanas Grecia, Venecia, Suecia y Arabia. Mis sobri https://t.co/7hkVXl2oeW"
WPa5nan,2019-08-20 02:48:14,"RT @IreneViena: Jangan karena sudah terungkap SBY-LBP-Paloh-Wanandi cs dalang kerusuhan Papua, lalu Presiden Jokowi minta rakyat Indonesia"
AgungBasoeki,2019-08-20 02:48:14,"RT @datuakrajoangek: Mau tanya ndan, itu yg berseragam menggeruduk sipil dan maki2 pake sebutan penghuni kebun binatang di depan asrama pap"
iamvisha_,2019-08-20 02:48:14,"Sholihah nya Mama 

#queensophiatalia 
#11monthsold @ Surabaya, Indonesia https://t.co/gMK9zkEcE2"
RafaelAdelia12,2019-08-20 02:48:15,Kita Adalah Indonesia  #PapuaKitaSemuaBersaudara https://t.co/JVT3GfcIBb
AndyfathurAI,2019-08-20 02:48:15,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
CikalJsp,2019-08-20 02:48:15,"RT @Anggraini_4yu: Wahai Para Pedagang ES DOGER Se Indonesia..Pedagang Es Tung2

Cobalah Mengajukan Pinjaman 71 M Buat Mengembangkan Usaha"
YgritteSL,2019-08-20 02:48:16,RT @sweetrevoirs: We use their resources for the country's profit. Yet the people here who are known as tolerance with the diversities cant
lilanvn,2019-08-20 02:48:16,"RT @aldi_prmdya: Kemarin kita tertawa lepas,
Sekarang kita saling melepas.

Sesantuy itu hubungan di indonesia"
anonLokal,2019-08-20 02:48:16,"RT @Datok_Tamburin: Cuitan  ini seolah2 mau menantang aparat Polisi berani gak menangkap dia???

Jelas sekali dibelakang dia ada orang kuat"
dokey97,2019-08-20 02:48:16,RT @krthingy: Krt alasan bangsa barat datang ke indonesia pada awal masa penjajahan adalah untuk mencari https://t.co/4eO0fKxtMH
CaraKeith22,2019-08-20 02:48:17,"RT @RimhaadJomtien: @HFiskJohnson Hmm okay so we start with China,  Vietnam, the philippines, Sri Lanka,  Indonesia,  Thailand. With these"
tey_jou,2019-08-20 02:48:17,RT @MasihYGKemarin: TRI SUSANTI  INI YG ADA DI SIDANG MK PENDUKUNG 02 KOK BELIU BISA ADA DI AREA ASRAMA PAPUA JAWA TIMUR DAN MENGELUARKAN S
dwikokok2,2019-08-20 02:48:17,Papua jg Indonesia #PapuaDibelahNKRIDipecah
whitegrunge,2019-08-20 02:48:17,"RT @serahlumett: Kenapa Indonesia lebih berwarna dari negara lain?? 

Karena Indonesia memiliki keragaman budaya, suku bangsa yang terbentu"
Triutmo,2019-08-20 02:48:18,"RT @BertemanM: Menyedihkan .....
Semua aksi menimbulkan reaksi

Sejumlah Jalan Utama Lumpuh, Manokwari Mencekam. Apakah ini representasi bh"
FauziyahAdinda,2019-08-20 02:48:18,"RT @jokowi: Hari ini, di Hari Ulang Tahun Republik Indonesia ke-74, jumlah penduduk kita nomor empat terbesar di dunia. Sebagian besar mere"
SalaamGateway,2019-08-20 02:48:19,Malaysian halal-certified skincare brand Safi has appointed a digital marketing company to strengthen its brand pre https://t.co/uoe5Svv58F
Aliffitrindewor,2019-08-20 02:48:19,"RT @Datok_Tamburin: Cuitan  ini seolah2 mau menantang aparat Polisi berani gak menangkap dia???

Jelas sekali dibelakang dia ada orang kuat"
bangchahn,2019-08-20 02:48:19,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
teguhbw79,2019-08-20 02:48:20,"RT @Khoirudin_Gala: Mari kita jaga persatuan dan kesatuan Indonesia dari Sabang sampai Merauke, dari Miangas sampai Rote

#KitaSemuaBersaud"
yerimnism,2019-08-20 02:48:20,"RT @SupportRV: #SayUmpahUmpah Trends

#1 Russia
#1 France
#1 Singapore
#1 Malaysia 
#1 Brazil
#1 Vietnam
#1 Thailand
#1 Indonesia
#1 Philip"
Gusmarhadi,2019-08-20 02:48:20,#KitaSemuaBersaudara karena kita adalah Indonesia https://t.co/gdbPQ6PajU
alekstyaa_,2019-08-20 02:48:21,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
qosthollani,2019-08-20 02:48:22,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
Gotcha_Ironic,2019-08-20 02:48:22,@kenndaru Allah melapangkan rezeki bagi siapa yang dikehendaki-Nya di antara hamba-hamba-Nya dan Dia (pula) yang me https://t.co/hCBELNiRMP
Suvera_Virgolin,2019-08-20 02:48:23,"RT @PastorGilbertL: Makanan Rohani 1 Menit:
*""Papua Bersatu; Indonesia Bangkit""* https://t.co/3Ptq8z1kj6"
SuccessCorp2,2019-08-20 02:48:23,JASA PEMBUTAN SKRIPSI TESIS PURWOKERTO (SUCCESS CORP) DAN LUAR KOTA WA 0896 0777 8881: JASA PEMBUATAN SKRIPSI BAHAS https://t.co/u4PTcp9YRo
gebcuu,2019-08-20 02:48:23,"RT @Ana___Dz: Beda perlakuan antara mayoritas dan minoritas hanya ada di INDONESIA 
Pasal penistaan berlaku buat mayoritas 

  https"
hellhawnk,2019-08-20 02:48:24,RT @BanyuSadewa:  Indonesias Colonization  https://t.co/jMGn5EJhko
hank_jkt,2019-08-20 02:48:24,RT @CNNIndonesia: Lenis Kagoya Minta Jaminan Keamanan Asrama Papua se-Indonesia https://t.co/esMBPLpKER
hepburnism2,2019-08-20 02:48:25,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
annsrhmtk,2019-08-20 02:48:24,RT @tubbirfess: Idk but i heard that mengaransemen lagu Indonesia Raya tuh udah ada aturannya sendiri dan gaboleh sembarangan deh??? https
bbibae1,2019-08-20 02:48:25,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
alllmrrr,2019-08-20 02:48:25,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
sdhanes,2019-08-20 02:48:25,RT @danielht2009: @zoelfick Dalam kasus penistaan agama sangat kelihatan Indonesia sangat diskriminatif. Jika ada yg dianggap menista Islam
KTK606,2019-08-20 02:48:25,THEBOYZ KCON USA Japan  Tokyo Osaka Hongkong  Thailand  bangkok Indonesia  Jakarta Singapore  Taiwan Phil https://t.co/jNA5Q6kXLb
romysptn,2019-08-20 02:48:25,RT @meantymrmint: Indonesians around the world really be shoving their nationality up everyones ass but barely even bother to make a change
ktw667,2019-08-20 02:48:26,"RT @NoTaeminNoLife: 20190819 RCTI+ 
# #TAEMIN #RCTI30 

Hello Indonesia!
sya  ( ) 
  RCTI 
Anniversary celebration   "
JillF38,2019-08-20 02:48:26,RT @CREWcrew: The president's son + the president's business + a foreign country + an event with foreign government officials = conflicts o
Reestari,2019-08-20 02:48:26,"@DivHumas_Polri @makLambeTurah @PolriMultimedia @HumasPoldaJatim @HmsPoldaPapua Hoax WNA Cina gagal, hoax PKI gagal https://t.co/s73Mxj2mX5"
rifqahs,2019-08-20 02:48:26,"Setuju, mereka itu luarnya aja sangar, sifat dan hatinya halus baik banget :("
Syogren,2019-08-20 02:48:26,"RT @PiyoLaurant: Haha since ppl are still liking this, allow me to promote my art acc, there might be a lot of fe3h art coming once I final"
SupriyantoYatim,2019-08-20 02:48:27,"RT @AhmadYani19781: Mari kita jaga persatuan dan kesatuan Indonesia dari Sabang sampai Merauke, dari Miangas sampai Rote
Kita semua bersaud"
kautsarnazirahm,2019-08-20 02:48:27,"RT @adehukom: #PapuaBukanMonyet 

Thank you Mr. President. Stay strong to define Papua as Indonesia. https://t.co/fAgia1ZJ3x"
_caroliinda8,2019-08-20 02:48:27,"RT @stef_crf: na fase que eu to, eu pularia com certeza https://t.co/m2nPLPoR6B"
Fikko36190951,2019-08-20 02:48:28,@mohmahfudmd
NIsma_Sabrina,2019-08-20 02:48:28,RT @arishazmann: Indonesia tak pernah mengecewakan  https://t.co/OtkQezbU9U
active_hi,2019-08-20 02:48:28,Indonesias Jokowi urges calm after violent West Papua protests | Indonesia Information https://t.co/xnVykjMTlF
fj_kartika_sw,2019-08-20 02:48:28,"RT @AyuKarangora: Saya cinta Indonesia yang damai.
Kita beragam suku,agama,budaya,ras dan karena itu kita kaya.
Mari jaga kesatuan Indonesi"
zakkafm,2019-08-20 02:48:28,kenapa menurut saya keislaman (identitas sebagai seorang Muslim) lebih penting daripada kenusantaraan (identitas se https://t.co/MSWfW7Twr8
Taufiqlu,2019-08-20 02:48:28,"RT @NajwaShihab: Jika yang tergores ada padamu, yang mengerang haruslah suaraku.

Jika di timur ada yang terluka, di barat harus juga meras"
shopattds,2019-08-20 02:48:29,Mau beli candle https://t.co/SuPqPhpLDU tapi kehabisan promo payday? Pake kode voucher CYBERMONDAY aja! KHUSUS HARI https://t.co/xREo73BpRn
